 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
195,0.75087,195,0.56841,195,0,195,-0.56841
196,0.75087,196,0.56841,196,0,196,-0.56841
197,0.75087,197,0.56841,197,0,197,-0.56841
198,0.75087,198,0.56841,198,0,198,-0.56841
199,0.75087,199,0.56841,199,0,199,-0.56841
200,0.75087,200,0.56841,200,0,200,-0.56841
201,0.75087,201,0.56841,201,0,201,-0.56841
202,0.75087,202,0.56841,202,0,202,-0.56841
203,0.75087,203,0.56841,203,0,203,-0.56841
204,0.75087,204,0.56841,204,0,204,-0.56841
205,0.75087,205,0.56841,205,0,205,-0.56841
206,0.75087,206,0.56841,206,0,206,-0.56841
207,0.75087,207,0.56841,207,0,207,-0.56841
208,0.75087,208,0.56841,208,0,208,-0.56841
209,0.75087,209,0.56841,209,0,209,-0.56841
210,0.75087,210,0.56841,210,0,210,-0.56841
211,0.75087,211,0.56841,211,0,211,-0.56841
212,0.75087,212,0.56841,212,0,212,-0.56841
213,0.75087,213,0.56841,213,0,213,-0.56841
214,0.75087,214,0.56841,214,0,214,-0.56841
215,0.75087,215,0.56841,215,0,215,-0.56841
216,0.75087,216,0.56841,216,0,216,-0.56841
217,0.75087,217,0.56841,217,0,217,-0.56841
218,0.75087,218,0.56841,218,0,218,-0.56841
219,0.75087,219,0.56841,219,0,219,-0.56841
220,0.75087,220,0.56841,220,0,220,-0.56841
221,0.75087,221,0.56841,221,0,221,-0.56841
222,0.75087,222,0.56841,222,0,222,-0.56841
223,0.75087,223,0.56841,223,0,223,-0.56841
224,0.75087,224,0.56841,224,0,224,-0.56841
225,0.75087,225,0.56841,225,0,225,-0.56841
226,0.75087,226,0.56841,226,0,226,-0.56841
227,0.75087,227,0.56841,227,0,227,-0.56841
228,0.75087,228,0.56841,228,0,228,-0.56841
229,0.75087,229,0.56841,229,0,229,-0.56841
230,0.75087,230,0.56841,230,0,230,-0.56841
231,0.75087,231,0.56841,231,0,231,-0.56841
232,0.75087,232,0.56841,232,0,232,-0.56841
233,0.75087,233,0.56841,233,0,233,-0.56841
234,0.75087,234,0.56841,234,0,234,-0.56841
235,0.75087,235,0.56841,235,0,235,-0.56841
236,0.75087,236,0.56841,236,0,236,-0.56841
237,0.75087,237,0.56841,237,0,237,-0.56841
238,0.75087,238,0.56841,238,0,238,-0.56841
239,0.75087,239,0.56841,239,0,239,-0.56841
240,0.75087,240,0.56841,240,0,240,-0.56841
241,0.75087,241,0.56841,241,0,241,-0.56841
242,0.75087,242,0.56841,242,0,242,-0.56841
243,0.75087,243,0.56841,243,0,243,-0.56841
244,0.75087,244,0.56841,244,0,244,-0.56841
245,0.75087,245,0.56841,245,0,245,-0.56841
246,0.75087,246,0.56841,246,0,246,-0.56841
247,0.75087,247,0.56841,247,0,247,-0.56841
248,0.75087,248,0.56841,248,0,248,-0.56841
249,0.75087,249,0.56841,249,0,249,-0.56841
250,0.75087,250,0.56841,250,0,250,-0.56841
251,0.75087,251,0.56841,251,0,251,-0.56841
252,0.75087,252,0.56841,252,0,252,-0.56841
253,0.75087,253,0.56841,253,0,253,-0.56841
254,0.75087,254,0.56841,254,0,254,-0.56841
255,0.75087,255,0.56841,255,0,255,-0.56841
256,0.75087,256,0.56841,256,0,256,-0.56841
257,0.75087,257,0.56841,257,0,257,-0.56841
258,0.75087,258,0.56841,258,0,258,-0.56841
259,0.75087,259,0.56841,259,0,259,-0.56841
260,0.75087,260,0.56841,260,0,260,-0.56841
261,0.75087,261,0.56841,261,0,261,-0.56841
262,0.75087,262,0.56841,262,0,262,-0.56841
263,0.75087,263,0.56841,263,0,263,-0.56841
264,0.75087,264,0.56841,264,0,264,-0.56841
265,0.75087,265,0.56841,265,0,265,-0.56841
266,0.75087,266,0.56841,266,0,266,-0.56841
267,0.75087,267,0.56841,267,0,267,-0.56841
268,0.75087,268,0.56841,268,0,268,-0.56841
269,0.75087,269,0.56841,269,0,269,-0.56841
270,0.75087,270,0.56841,270,0,270,-0.56841
271,0.75087,271,0.56841,271,0,271,-0.56841
272,0.75087,272,0.56841,272,0,272,-0.56841
273,0.75087,273,0.56841,273,0,273,-0.56841
274,0.75087,274,0.56841,274,0,274,-0.56841
275,0.75087,275,0.56841,275,0,275,-0.56841
276,0.75087,276,0.56841,276,0,276,-0.56841
277,0.75087,277,0.56841,277,0,277,-0.56841
278,0.75087,278,0.56841,278,0,278,-0.56841
279,0.75087,279,0.56841,279,0,279,-0.56841
280,0.75087,280,0.56841,280,0,280,-0.56841
281,0.75087,281,0.56841,281,0,281,-0.56841
282,0.75087,282,0.56841,282,0,282,-0.56841
283,0.75087,283,0.56841,283,0,283,-0.56841
284,0.75087,284,0.56841,284,0,284,-0.56841
285,0.75087,285,0.56841,285,0,285,-0.56841
286,0.75087,286,0.56841,286,0,286,-0.56841
287,0.75087,287,0.56841,287,0,287,-0.56841
288,0.75087,288,0.56841,288,0,288,-0.56841
289,0.75087,289,0.56841,289,0,289,-0.56841
290,0.75087,290,0.56841,290,0,290,-0.56841
291,0.75087,291,0.56841,291,0,291,-0.56841
292,0.75087,292,0.56841,292,0,292,-0.56841
293,0.75087,293,0.56841,293,0,293,-0.56841
294,0.75087,294,0.56841,294,0,294,-0.56841
295,0.75087,295,0.56841,295,0,295,-0.56841
296,0.75087,296,0.56841,296,0,296,-0.56841
297,0.75087,297,0.56841,297,0,297,-0.56841
298,0.75087,298,0.56841,298,0,298,-0.56841
299,0.75087,299,0.56841,299,0,299,-0.56841
300,0.75087,300,0.56841,300,0,300,-0.56841
301,0.75087,301,0.56841,301,0,301,-0.56841
302,0.75087,302,0.56841,302,0,302,-0.56841
303,0.75087,303,0.56841,303,0,303,-0.56841
304,0.75087,304,0.56841,304,0,304,-0.56841
305,0.75087,305,0.56841,305,0,305,-0.56841
306,0.75087,306,0.56841,306,0,306,-0.56841
307,0.75087,307,0.56841,307,0,307,-0.56841
308,0.75087,308,0.56841,308,0,308,-0.56841
309,0.75087,309,0.56841,309,0,309,-0.56841
310,0.75087,310,0.56841,310,0,310,-0.56841
311,0.75087,311,0.56841,311,0,311,-0.56841
312,0.75087,312,0.56841,312,0,312,-0.56841
313,0.75087,313,0.56841,313,0,313,-0.56841
314,0.75087,314,0.56841,314,0,314,-0.56841
315,0.75087,315,0.56841,315,0,315,-0.56841
316,0.75087,316,0.56841,316,0,316,-0.56841
317,0.75087,317,0.56841,317,0,317,-0.56841
318,0.75087,318,0.56841,318,0,318,-0.56841
319,0.75087,319,0.56841,319,0,319,-0.56841
320,0.75087,320,0.56841,320,0,320,-0.56841
321,0.75087,321,0.56841,321,0,321,-0.56841
322,0.75087,322,0.56841,322,0,322,-0.56841
323,0.75087,323,0.56841,323,0,323,-0.56841
324,0.75087,324,0.56841,324,0,324,-0.56841
325,0.75087,325,0.56841,325,0,325,-0.56841
326,0.75087,326,0.56841,326,0,326,-0.56841
327,0.75087,327,0.56841,327,0,327,-0.56841
328,0.75087,328,0.56841,328,0,328,-0.56841
329,0.75087,329,0.56841,329,0,329,-0.56841
330,0.75087,330,0.56841,330,0,330,-0.56841
331,0.75087,331,0.56841,331,0,331,-0.56841
332,0.75087,332,0.56841,332,0,332,-0.56841
333,0.75087,333,0.56841,333,0,333,-0.56841
334,0.75087,334,0.56841,334,0,334,-0.56841
335,0.75087,335,0.56841,335,0,335,-0.56841
336,0.75087,336,0.56841,336,0,336,-0.56841
337,0.75087,337,0.56841,337,0,337,-0.56841
338,0.75087,338,0.56841,338,0,338,-0.56841
339,0.75087,339,0.56841,339,0,339,-0.56841
340,0.75087,340,0.56841,340,0,340,-0.56841
341,0.75087,341,0.56841,341,0,341,-0.56841
342,0.75087,342,0.56841,342,0,342,-0.56841
343,0.75087,343,0.56841,343,0,343,-0.56841
344,0.75087,344,0.56841,344,0,344,-0.56841
345,0.75087,345,0.56841,345,0,345,-0.56841
346,0.75087,346,0.56841,346,0,346,-0.56841
347,0.75087,347,0.56841,347,0,347,-0.56841
348,0.75087,348,0.56841,348,0,348,-0.56841
349,0.75087,349,0.56841,349,0,349,-0.56841
350,0.75087,350,0.56841,350,0,350,-0.56841
351,0.75087,351,0.56841,351,0,351,-0.56841
352,0.75087,352,0.56841,352,0,352,-0.56841
353,0.75087,353,0.56841,353,0,353,-0.56841
354,0.75087,354,0.56841,354,0,354,-0.56841
355,0.75087,355,0.56841,355,0,355,-0.56841
356,0.75087,356,0.56841,356,0,356,-0.56841
357,0.75087,357,0.56841,357,0,357,-0.56841
358,0.75087,358,0.56841,358,0,358,-0.56841
359,0.75087,359,0.56841,359,0,359,-0.56841
360,0.75087,360,0.56841,360,0,360,-0.56841
361,0.75087,361,0.56841,361,0,361,-0.56841
362,0.75087,362,0.56841,362,0,362,-0.56841
363,0.75087,363,0.56841,363,0,363,-0.56841
364,0.75087,364,0.56841,364,0,364,-0.56841
365,0.75087,365,0.56841,365,0,365,-0.56841
366,0.75087,366,0.56841,366,0,366,-0.56841
367,0.75087,367,0.56841,367,0,367,-0.56841
368,0.75087,368,0.56841,368,0,368,-0.56841
369,0.75087,369,0.56841,369,0,369,-0.56841
370,0.75087,370,0.56841,370,0,370,-0.56841
371,0.75087,371,0.56841,371,0,371,-0.56841
372,0.75087,372,0.56841,372,0,372,-0.56841
373,0.75087,373,0.56841,373,0,373,-0.56841
374,0.75087,374,0.56841,374,0,374,-0.56841
375,0.75087,375,0.56841,375,0,375,-0.56841
376,0.75087,376,0.56841,376,0,376,-0.56841
377,0.75087,377,0.56841,377,0,377,-0.56841
378,0.75087,378,0.56841,378,0,378,-0.56841
379,0.75087,379,0.56841,379,0,379,-0.56841
380,0.75087,380,0.56841,380,0,380,-0.56841
381,0.75087,381,0.56841,381,0,381,-0.56841
382,0.75087,382,0.56841,382,0,382,-0.56841
383,0.75087,383,0.56841,383,0,383,-0.56841
384,0.75087,384,0.56841,384,0,384,-0.56841
385,0.75087,385,0.56841,385,0,385,-0.56841
386,0.75087,386,0.56841,386,0,386,-0.56841
387,0.75087,387,0.56841,387,0,387,-0.56841
388,0.75087,388,0.56841,388,0,388,-0.56841
389,0.75087,389,0.56841,389,0,389,-0.56841
390,0.75087,390,0.56841,390,0,390,-0.56841
391,0.75087,391,0.56841,391,0,391,-0.56841
392,0.75087,392,0.56841,392,0,392,-0.56841
393,0.75087,393,0.56841,393,0,393,-0.56841
394,0.75087,394,0.56841,394,0,394,-0.56841
395,0.75087,395,0.56841,395,0,395,-0.56841
396,0.75087,396,0.56841,396,0,396,-0.56841
397,0.75087,397,0.56841,397,0,397,-0.56841
398,0.75087,398,0.56841,398,0,398,-0.56841
399,0.75087,399,0.56841,399,0,399,-0.56841
400,0.75087,400,0.56841,400,0,400,-0.56841
401,0.75087,401,0.56841,401,0,401,-0.56841
402,0.75087,402,0.56841,402,0,402,-0.56841
403,0.75087,403,0.56841,403,0,403,-0.56841
404,0.75087,404,0.56841,404,0,404,-0.56841
405,0.75087,405,0.56841,405,0,405,-0.56841
406,0.75087,406,0.56841,406,0,406,-0.56841
407,0.75087,407,0.56841,407,0,407,-0.56841
408,0.75087,408,0.56841,408,0,408,-0.56841
409,0.75087,409,0.56841,409,0,409,-0.56841
410,0.75087,410,0.56841,410,0,410,-0.56841
411,0.75087,411,0.56841,411,0,411,-0.56841
412,0.75087,412,0.56841,412,0,412,-0.56841
413,0.75087,413,0.56841,413,0,413,-0.56841
414,0.75087,414,0.56841,414,0,414,-0.56841
415,0.75087,415,0.56841,415,0,415,-0.56841
416,0.75087,416,0.56841,416,0,416,-0.56841
417,0.75087,417,0.56841,417,0,417,-0.56841
418,0.75087,418,0.56841,418,0,418,-0.56841
419,0.75087,419,0.56841,419,0,419,-0.56841
420,0.75087,420,0.56841,420,0,420,-0.56841
421,0.75087,421,0.56841,421,0,421,-0.56841
422,0.75087,422,0.56841,422,0,422,-0.56841
