 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
345,0.979,345,0.67598,345,0,345,-0.67598
346,0.979,346,0.67598,346,0,346,-0.67598
347,0.979,347,0.67598,347,0,347,-0.67598
348,0.979,348,0.67598,348,0,348,-0.67598
349,0.979,349,0.67598,349,0,349,-0.67598
350,0.979,350,0.67598,350,0,350,-0.67598
351,0.979,351,0.67598,351,0,351,-0.67598
352,0.979,352,0.67598,352,0,352,-0.67598
353,0.979,353,0.67598,353,0,353,-0.67598
354,0.979,354,0.67598,354,0,354,-0.67598
355,0.979,355,0.67598,355,0,355,-0.67598
356,0.979,356,0.67598,356,0,356,-0.67598
357,0.979,357,0.67598,357,0,357,-0.67598
358,0.979,358,0.67598,358,0,358,-0.67598
359,0.979,359,0.67598,359,0,359,-0.67598
360,0.979,360,0.67598,360,0,360,-0.67598
361,0.979,361,0.67598,361,0,361,-0.67598
362,0.979,362,0.67598,362,0,362,-0.67598
363,0.979,363,0.67598,363,0,363,-0.67598
364,0.979,364,0.67598,364,0,364,-0.67598
365,0.979,365,0.67598,365,0,365,-0.67598
366,0.979,366,0.67598,366,0,366,-0.67598
367,0.979,367,0.67598,367,0,367,-0.67598
368,0.979,368,0.67598,368,0,368,-0.67598
369,0.979,369,0.67598,369,0,369,-0.67598
370,0.979,370,0.67598,370,0,370,-0.67598
371,0.979,371,0.67598,371,0,371,-0.67598
372,0.979,372,0.67598,372,0,372,-0.67598
373,0.979,373,0.67598,373,0,373,-0.67598
374,0.979,374,0.67598,374,0,374,-0.67598
375,0.979,375,0.67598,375,0,375,-0.67598
376,0.979,376,0.67598,376,0,376,-0.67598
377,0.979,377,0.67598,377,0,377,-0.67598
378,0.979,378,0.67598,378,0,378,-0.67598
379,0.979,379,0.67598,379,0,379,-0.67598
380,0.979,380,0.67598,380,0,380,-0.67598
381,0.979,381,0.67598,381,0,381,-0.67598
382,0.979,382,0.67598,382,0,382,-0.67598
383,0.979,383,0.67598,383,0,383,-0.67598
384,0.979,384,0.67598,384,0,384,-0.67598
385,0.979,385,0.67598,385,0,385,-0.67598
386,0.979,386,0.67598,386,0,386,-0.67598
387,0.979,387,0.67598,387,0,387,-0.67598
388,0.979,388,0.67598,388,0,388,-0.67598
389,0.979,389,0.67598,389,0,389,-0.67598
390,0.979,390,0.67598,390,0,390,-0.67598
391,0.979,391,0.67598,391,0,391,-0.67598
392,0.979,392,0.67598,392,0,392,-0.67598
393,0.979,393,0.67598,393,0,393,-0.67598
394,0.979,394,0.67598,394,0,394,-0.67598
395,0.979,395,0.67598,395,0,395,-0.67598
396,0.979,396,0.67598,396,0,396,-0.67598
397,0.979,397,0.67598,397,0,397,-0.67598
398,0.979,398,0.67598,398,0,398,-0.67598
399,0.979,399,0.67598,399,0,399,-0.67598
400,0.979,400,0.67598,400,0,400,-0.67598
401,0.979,401,0.67598,401,0,401,-0.67598
402,0.979,402,0.67598,402,0,402,-0.67598
403,0.979,403,0.67598,403,0,403,-0.67598
404,0.979,404,0.67598,404,0,404,-0.67598
405,0.979,405,0.67598,405,0,405,-0.67598
406,0.979,406,0.67598,406,0,406,-0.67598
407,0.979,407,0.67598,407,0,407,-0.67598
408,0.979,408,0.67598,408,0,408,-0.67598
409,0.979,409,0.67598,409,0,409,-0.67598
410,0.979,410,0.67598,410,0,410,-0.67598
411,0.979,411,0.67598,411,0,411,-0.67598
412,0.979,412,0.67598,412,0,412,-0.67598
413,0.979,413,0.67598,413,0,413,-0.67598
414,0.979,414,0.67598,414,0,414,-0.67598
415,0.979,415,0.67598,415,0,415,-0.67598
416,0.979,416,0.67598,416,0,416,-0.67598
417,0.979,417,0.67598,417,0,417,-0.67598
418,0.979,418,0.67598,418,0,418,-0.67598
419,0.979,419,0.67598,419,0,419,-0.67598
420,0.979,420,0.67598,420,0,420,-0.67598
421,0.979,421,0.67598,421,0,421,-0.67598
422,0.979,422,0.67598,422,0,422,-0.67598
423,0.979,423,0.67598,423,0,423,-0.67598
424,0.979,424,0.67598,424,0,424,-0.67598
425,0.979,425,0.67598,425,0,425,-0.67598
426,0.979,426,0.67598,426,0,426,-0.67598
427,0.979,427,0.67598,427,0,427,-0.67598
428,0.979,428,0.67598,428,0,428,-0.67598
429,0.979,429,0.67598,429,0,429,-0.67598
430,0.979,430,0.67598,430,0,430,-0.67598
431,0.979,431,0.67598,431,0,431,-0.67598
432,0.979,432,0.67598,432,0,432,-0.67598
433,0.979,433,0.67598,433,0,433,-0.67598
434,0.979,434,0.67598,434,0,434,-0.67598
435,0.979,435,0.67598,435,0,435,-0.67598
436,0.979,436,0.67598,436,0,436,-0.67598
437,0.979,437,0.67598,437,0,437,-0.67598
438,0.979,438,0.67598,438,0,438,-0.67598
439,0.979,439,0.67598,439,0,439,-0.67598
440,0.979,440,0.67598,440,0,440,-0.67598
441,0.979,441,0.67598,441,0,441,-0.67598
442,0.979,442,0.67598,442,0,442,-0.67598
443,0.979,443,0.67598,443,0,443,-0.67598
444,0.979,444,0.67598,444,0,444,-0.67598
445,0.979,445,0.67598,445,0,445,-0.67598
446,0.979,446,0.67598,446,0,446,-0.67598
447,0.979,447,0.67598,447,0,447,-0.67598
448,0.979,448,0.67598,448,0,448,-0.67598
449,0.979,449,0.67598,449,0,449,-0.67598
450,0.979,450,0.67598,450,0,450,-0.67598
451,0.979,451,0.67598,451,0,451,-0.67598
452,0.979,452,0.67598,452,0,452,-0.67598
453,0.979,453,0.67598,453,0,453,-0.67598
454,0.979,454,0.67598,454,0,454,-0.67598
455,0.979,455,0.67598,455,0,455,-0.67598
456,0.979,456,0.67598,456,0,456,-0.67598
457,0.979,457,0.67598,457,0,457,-0.67598
458,0.979,458,0.67598,458,0,458,-0.67598
459,0.979,459,0.67598,459,0,459,-0.67598
460,0.979,460,0.67598,460,0,460,-0.67598
461,0.979,461,0.67598,461,0,461,-0.67598
462,0.979,462,0.67598,462,0,462,-0.67598
463,0.979,463,0.67598,463,0,463,-0.67598
464,0.979,464,0.67598,464,0,464,-0.67598
465,0.979,465,0.67598,465,0,465,-0.67598
466,0.979,466,0.67598,466,0,466,-0.67598
467,0.979,467,0.67598,467,0,467,-0.67598
468,0.979,468,0.67598,468,0,468,-0.67598
469,0.979,469,0.67598,469,0,469,-0.67598
470,0.979,470,0.67598,470,0,470,-0.67598
471,0.979,471,0.67598,471,0,471,-0.67598
472,0.979,472,0.67598,472,0,472,-0.67598
473,0.979,473,0.67598,473,0,473,-0.67598
474,0.979,474,0.67598,474,0,474,-0.67598
475,0.979,475,0.67598,475,0,475,-0.67598
476,0.979,476,0.67598,476,0,476,-0.67598
477,0.979,477,0.67598,477,0,477,-0.67598
478,0.979,478,0.67598,478,0,478,-0.67598
479,0.979,479,0.67598,479,0,479,-0.67598
480,0.979,480,0.67598,480,0,480,-0.67598
481,0.979,481,0.67598,481,0,481,-0.67598
482,0.979,482,0.67598,482,0,482,-0.67598
483,0.979,483,0.67598,483,0,483,-0.67598
484,0.979,484,0.67598,484,0,484,-0.67598
485,0.979,485,0.67598,485,0,485,-0.67598
486,0.979,486,0.67598,486,0,486,-0.67598
487,0.979,487,0.67598,487,0,487,-0.67598
488,0.979,488,0.67598,488,0,488,-0.67598
489,0.979,489,0.67598,489,0,489,-0.67598
490,0.979,490,0.67598,490,0,490,-0.67598
491,0.979,491,0.67598,491,0,491,-0.67598
492,0.979,492,0.67598,492,0,492,-0.67598
493,0.979,493,0.67598,493,0,493,-0.67598
494,0.979,494,0.67598,494,0,494,-0.67598
495,0.979,495,0.67598,495,0,495,-0.67598
496,0.979,496,0.67598,496,0,496,-0.67598
497,0.979,497,0.67598,497,0,497,-0.67598
498,0.979,498,0.67598,498,0,498,-0.67598
499,0.979,499,0.67598,499,0,499,-0.67598
500,0.979,500,0.67598,500,0,500,-0.67598
501,0.979,501,0.67598,501,0,501,-0.67598
502,0.979,502,0.67598,502,0,502,-0.67598
503,0.979,503,0.67598,503,0,503,-0.67598
504,0.979,504,0.67598,504,0,504,-0.67598
505,0.979,505,0.67598,505,0,505,-0.67598
506,0.979,506,0.67598,506,0,506,-0.67598
507,0.979,507,0.67598,507,0,507,-0.67598
508,0.979,508,0.67598,508,0,508,-0.67598
509,0.979,509,0.67598,509,0,509,-0.67598
510,0.979,510,0.67598,510,0,510,-0.67598
511,0.979,511,0.67598,511,0,511,-0.67598
512,0.979,512,0.67598,512,0,512,-0.67598
513,0.979,513,0.67598,513,0,513,-0.67598
514,0.979,514,0.67598,514,0,514,-0.67598
515,0.979,515,0.67598,515,0,515,-0.67598
516,0.979,516,0.67598,516,0,516,-0.67598
517,0.979,517,0.67598,517,0,517,-0.67598
518,0.979,518,0.67598,518,0,518,-0.67598
519,0.979,519,0.67598,519,0,519,-0.67598
520,0.979,520,0.67598,520,0,520,-0.67598
521,0.979,521,0.67598,521,0,521,-0.67598
522,0.979,522,0.67598,522,0,522,-0.67598
523,0.979,523,0.67598,523,0,523,-0.67598
524,0.979,524,0.67598,524,0,524,-0.67598
525,0.979,525,0.67598,525,0,525,-0.67598
526,0.979,526,0.67598,526,0,526,-0.67598
527,0.979,527,0.67598,527,0,527,-0.67598
528,0.979,528,0.67598,528,0,528,-0.67598
529,0.979,529,0.67598,529,0,529,-0.67598
530,0.979,530,0.67598,530,0,530,-0.67598
531,0.979,531,0.67598,531,0,531,-0.67598
532,0.979,532,0.67598,532,0,532,-0.67598
533,0.979,533,0.67598,533,0,533,-0.67598
534,0.979,534,0.67598,534,0,534,-0.67598
535,0.979,535,0.67598,535,0,535,-0.67598
536,0.979,536,0.67598,536,0,536,-0.67598
537,0.979,537,0.67598,537,0,537,-0.67598
538,0.979,538,0.67598,538,0,538,-0.67598
